Section,Category,Metric,Formula,Value/Rate,Notes,Source
Revenue Calculations,SEO,Total Potential SEO Revenue,"SUM(All Keywords Potential Revenue)",Dynamic,Total potential monthly revenue from SEO,Calculated
Revenue Calculations,SEO,SEO Revenue Opportunity,"Total Potential SEO Revenue - Total Current SEO Revenue",Dynamic,Additional revenue possible from SEO improvements,Calculated
Revenue Calculations,SMS,Current SMS Revenue Estimate,"SMS List Size × 0.05 × Average Ticket",Dynamic,Conservative estimate of current SMS revenue,Calculated
Revenue Calculations,SMS,SMS Campaign Revenue,"SMS List Size × Open Rate × Click Rate × Conversion Rate × Average Ticket ÷ 10000",Dynamic,Revenue from SMS campaign,Calculated
Revenue Calculations,SMS,SMS Potential Monthly Revenue,"SMS Campaign Revenue × 4",Dynamic,Monthly revenue potential from 4 SMS campaigns,Calculated
Revenue Calculations,Social Media,Instagram Current Revenue (Basic),"Instagram Followers × 0.005 × Average Ticket",Dynamic,Conservative current monthly revenue from Instagram,Calculated
Revenue Calculations,Social Media,Instagram Engagement Rate (Calculated),"(Average Likes Per Post ÷ Followers Count)",Dynamic,Actual engagement rate from API data,Calculated
Revenue Calculations,Social Media,Instagram Potential Revenue,"Instagram Followers × Conversion Rate × Average Ticket",Dynamic,Potential monthly revenue with optimized Instagram,Calculated
Revenue Calculations,Social Media,Facebook Current Revenue,"Facebook Followers × 0.002 × Average Ticket",Dynamic,Current monthly revenue from Facebook organic,Calculated
Revenue Calculations,Social Media,Facebook Potential Revenue,"Facebook Followers × Potential Multiplier × Average Ticket",Dynamic,Potential revenue with Facebook optimization,Calculated
Revenue Calculations,Social Media,Facebook Ads Multiplier,2.5x,2.5,Revenue multiplier when running Facebook ads,Industry Benchmark
Revenue Calculations,Social Media,Inactive Page Penalty,0.5x,0.5,Revenue reduction for inactive Facebook pages,Industry Benchmark
Revenue Calculations,Email,Email Campaign Revenue,"Email List Size × Open Rate × Click Rate × Conversion Rate × Average Ticket ÷ 1000000",Dynamic,Revenue from email campaign,Calculated
Revenue Calculations,Email,Email Monthly Revenue,"Email Campaign Revenue × 8",Dynamic,Monthly revenue from 8 email campaigns,Calculated
Revenue Calculations,Total Revenue,Current Total Revenue,"SEO Current + Social Current + SMS Current + Email Current",Dynamic,Sum of all current channel revenues,Calculated
Revenue Calculations,Total Revenue,Potential Total Revenue,"SEO Potential + Social Potential + SMS Potential + Email Potential",Dynamic,Sum of all potential channel revenues,Calculated
Revenue Calculations,Total Revenue,Total Revenue Opportunity,"Potential Total Revenue - Current Total Revenue",Dynamic,Total additional revenue opportunity,Calculated
Business Intelligence,Estimation,Monthly Search Volume Estimate,"Monthly Transactions × 2.5",Dynamic,Estimated monthly searches based on transaction volume,Industry Rule of Thumb
Business Intelligence,Estimation,SEO Revenue Attribution,"Monthly Revenue × 10%",Dynamic,Estimated current SEO contribution to revenue,Industry Average
Business Intelligence,Social Media,Instagram Conversion Rate (High Engagement),"1.8% if Engagement > 2.5%, else 1.2%",Dynamic,Monthly follower to customer conversion rate,Performance-Based
Business Intelligence,Social Media,Facebook Base Conversion Rate,0.8%,0.008,Base monthly follower to customer conversion rate,Industry Average
Seasonal Factors,Day of Week,Monday Multiplier,Static Rate,0.8,Revenue multiplier for Mondays,Industry Data
Seasonal Factors,Day of Week,Tuesday Multiplier,Static Rate,0.7,Revenue multiplier for Tuesdays,Industry Data
Seasonal Factors,Day of Week,Wednesday Multiplier,Static Rate,0.8,Revenue multiplier for Wednesdays,Industry Data
Seasonal Factors,Day of Week,Thursday Multiplier,Static Rate,0.9,Revenue multiplier for Thursdays,Industry Data
Seasonal Factors,Day of Week,Friday Multiplier,Static Rate,1.4,Revenue multiplier for Fridays,Industry Data
Seasonal Factors,Day of Week,Saturday Multiplier,Static Rate,1.5,Revenue multiplier for Saturdays,Industry Data
Seasonal Factors,Day of Week,Sunday Multiplier,Static Rate,1.2,Revenue multiplier for Sundays,Industry Data
Seasonal Factors,Holidays,Mother's Day Increase,Static Rate,+51%,Revenue increase on Mother's Day,Industry Data
Seasonal Factors,Holidays,Holiday Season Increase,Static Rate,+68%,Revenue increase during holiday season,Industry Data
Advanced Calculations,Position-Specific SEO,Organic CTR Fallback Formula,"MAX(1.5 - (Position × 0.2), 0.1)",Dynamic,CTR estimation for positions 6-10+ organic,Calculated Formula
Advanced Calculations,Conversion Optimization,Enhanced Social Conversion,"Base Rate × Engagement Multiplier × Activity Multiplier",Dynamic,Optimized social media conversion calculation,Calculated
Advanced Calculations,Campaign Frequency,SMS Campaign Frequency,4 campaigns/month,4,Recommended SMS campaign frequency,Best Practice
Advanced Calculations,Campaign Frequency,Email Campaign Frequency,8 campaigns/month,8,Recommended email campaign frequency,Best Practice
Data Sources,API Integration,DataForSEO Keywords,Real-time mobile keyword ranking data,API,"Position, search volume, and keyword text",External API
Data Sources,API Integration,Social Media Metrics,Instagram/Facebook follower and engagement data,API,"Followers, likes, posts, activity status",External API
Data Sources,User Input,Restaurant Data,"Monthly Revenue, Average Ticket, Transaction Volume",User Input,Core business metrics from restaurant owner,User Provided
Methodology,Revenue Attribution,SEO Revenue Calculation Method,Position-based CTR × Search Volume × Conversion Rate × Avg Ticket,Calculated,Uses actual keyword ranking positions and search volumes,Hybrid Approach
Methodology,Revenue Attribution,Social Revenue Calculation Method,Follower Count × Conversion Rate × Engagement Multiplier × Avg Ticket,Calculated,Uses actual social media metrics when available,Enhanced Approach
Methodology,Forecasting,Potential Revenue Method,Current Performance + Optimization Improvements,Calculated,Conservative estimates based on industry benchmarks,Conservative Projection
